DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2016-0379-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Dianmu,VNM,Viet Nam,South-eastern Asia,Asia,"Hai Phong City, Quang Ninh, Yen Bai, Phu Tho, Lai Chau, Dien Bien, Son La, Hoa Binh, Than Hoa, Lao Cai, Bac Giang, Nghe An provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,"Luc Nam, Thoung, Ma, Buoi, Tao river",2016,8,18,2016,8,21,11,15,11075,,11090,,,,,157,205,76.5112162038615,"[{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3351,""adm1_name"":""Hai Phong City""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2016-11-17,2023-09-25
2016-0400-VNM,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,DFO:4410|GLIDE:TC-2016-000111,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh (Minh Hoa, Tuyen Hoa), Ha Tinh (Huong Khe), Nghe An, Quang Tri (Vinh Linh, Hai Lang, Trieu Phong), Thua Thien Hue provinces",Monsoonal rains,,No,No,No,,63641.54,Km2,16.004,107.68,,2016,10,9,2016,10,16,35,30,659390,195,659615,,,,,104280,136294,76.5112162038615,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2016-11-18,2023-09-25
2016-0497-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4429|GLIDE:FL-2016-000133-VNM,,VNM,Viet Nam,South-eastern Asia,Asia,"Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh provinces",Heavy rains,,No,No,No,,44341.22,Km2,,,,2016,12,12,2016,12,20,27,16,559255,2850,562121,,,,,35000,45745,76.5112162038615,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2016-12-20,2023-09-25
2016-0514-VNM,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Vaccinated,,,,2016,1,1,2016,9,30,27,79204,,,79204,,,,,,,76.5112162038615,,2017-01-04,2023-09-25
2016-0517-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Tinh (Huong Khe, Huong Son, Vu Quang, Cam Xuyen, Duc Tho), Quang Binh (Bo Trach, Quang Trach (Ba Don), Tuyen Hoan, Le Thuy, Minh Hoa), Quang Tri (Vinh Linh, Hai Lang, Trieu Phong, Cam Lo); Quang Ngai, Gia Lai, Dak Lak, Binh Dinh, Phu Yen, Khanh Hoa, Ninh Thuan",,,No,No,No,,,Km2,,,,2016,10,30,2016,11,5,21,,205205,1135,206340,,,,,22000,28754,76.5112162038615,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm2_code"":32346,""adm2_name"":""Cam Xuyen""},{""adm2_code"":74075,""adm2_name"":""Duc Tho""},{""adm2_code"":74078,""adm2_name"":""Huong Khe""},{""adm2_code"":74079,""adm2_name"":""Huong Son""},{""adm2_code"":74080,""adm2_name"":""Vu Quang""},{""adm2_code"":32511,""adm2_name"":""Bo Trach""},{""adm2_code"":32513,""adm2_name"":""Le Thuy""},{""adm2_code"":32514,""adm2_name"":""Minh Hoa""},{""adm2_code"":32516,""adm2_name"":""Quang Trach""},{""adm2_code"":32517,""adm2_name"":""Tuyen Hoa""},{""adm2_code"":74197,""adm2_name"":""Cam Lo""},{""adm2_code"":74200,""adm2_name"":""Hai Lang""},{""adm2_code"":74202,""adm2_name"":""Trieu Phong""},{""adm2_code"":74203,""adm2_name"":""Vinh Linh""}]",2017-01-05,2024-04-09
2016-0573-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hóa, Lào Cai, Yên Bái, Bac Kan, Dien Bien, Ha Thin, Son La, Thai Nguyen",Torrential rainfall,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2016,8,12,2016,8,14,8,4,410,95,509,,,,,,,76.5112162038615,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2017-05-31,2023-09-25
2017-0259-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Lao Cai, Dien Bien, Yen Bai (Mu Cang Chai district), Tuyen Quang, Thai Nguyen, Lai Chau, Bac Kan, Cao Bang (Hoa An district), Binh Thuan, An Giang, Cà Mau (Nam Can, Ngoc Hien and Dam Doi districts) Provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2017,6,27,2017,7,5,1,4,4100,,4104,,,,,355,454,78.1410017627676,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3339,""adm1_name"":""Ca Mau""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2017-07-18,2023-09-25
2017-0270-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Thai Nguyen, Ha Giang, Dien Bien, Hoa Binh, Cao Bang",Heavy rainfall,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2017,7,7,2017,7,10,14,,400,,400,,,,,1300,1664,78.1410017627676,"[{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""}]",2017-07-18,2023-09-25
2017-0281-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Talas,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Nghe An (Hon Ngu beach, Cua Lo district), Ha Tinh, Ha Noi city (Nhà Xanh Market in Câu Giây District)",,,No,No,No,,95,Kph,,,,2017,7,17,2017,7,18,9,,21000,,21000,,,,,71000,90861,78.1410017627676,"[{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2017-07-26,2023-09-25
2017-0337-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2017-000101,,VNM,Viet Nam,South-eastern Asia,Asia,"Yen Bai (Mu Cang Chai district), Son La (Muong La), Bac Kan, Lai Chau (Nam-Ho Dien Bien district), Dien Bien",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Da river,2017,8,3,2017,8,3,39,21,3000,1140,4161,,,,,88000,112617,78.1410017627676,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""}]",2017-08-16,2025-06-25
2017-0352-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000120,Typhoon 'Hato',VNM,Viet Nam,South-eastern Asia,Asia,Lao Cai (Sa Pa district),,,No,No,No,,,Kph,,,,2017,8,24,2017,8,24,1,1,,,1,,,,,1430000,1830025,78.1410017627676,"[{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2018-03-05,2025-06-25
2017-0406-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000131,Typhoon 'Doksuri',VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Ha Tinh, Thanh Hoa, Quang Binh, Quang Tri, Thua Thien-Hue, Hoa Binh",,,No,No,No,,185,Kph,,,,2017,9,15,2017,9,16,14,112,691900,,692012,,,,,484000,619393,78.1410017627676,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2017-10-05,2023-09-25
2017-0422-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2017-000159,Typhoon 'Damrey' / 'Ramil',VNM,Viet Nam,South-eastern Asia,Asia,"Khanh Hoa, Phu Yên, Binh Dinh, Dak Lak, Gia Lai, Dak Nông, Lâm Dông, Quang Nam, Quang Ngai, Kon Tum",,Flood,Yes,No,No,,130,Kph,,,,2017,11,4,2017,11,5,123,,4330000,,4330000,,,,,1000000,1279738,78.1410017627676,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""}]",2017-11-06,2023-09-25
2017-0428-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2017-000152,,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Nghe An, Ha Tinh, Hoa Binh, Yen Bai (V?n Tr?n, Tr?m T?u districts, Ngh?a L? Town), Son La, Quang Tri, Ha Noi (Nam Hai, Chong My), Phu Tho, Ha Nam",Tropical Depression 23W,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,"Mã, La, Ngàn Sâu, and Ngàn Ph? Rivers",2017,10,8,2017,10,16,75,38,40000,,40038,,,,,88000,112617,78.1410017627676,"[{""adm1_code"":3346,""adm1_name"":""Ha Nam""},{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""}]",2017-11-06,2023-09-25
2017-0492-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4541,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Tri, Thua Thien-Hue, Da Nang, Quang Nam, Quang Ngai, Binh Dinh",Tropical depression,,No,No,No,,27646.32,Km2,11.664,108.399,Cu De River,2017,11,19,2017,11,24,8,,41500,,41500,,,,,,,78.1410017627676,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2017-11-28,2023-09-25
2018-0201-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ewiniar',VNM,Viet Nam,South-eastern Asia,Asia,,,Flood,No,No,No,,,Kph,,,,2018,6,6,2018,6,19,1,,,,,,,,,,,80.0495962559511,,2018-07-19,2023-09-25
2018-0204-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Lai Chau,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2018,6,23,2018,6,27,33,18,16710,,16728,,,,,23000,28732,80.0495962559511,"[{""adm1_code"":73938,""adm1_name"":""Lai Chau""}]",2018-07-19,2023-09-25
2018-0227-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2018-000113,Tyhoon 'Son Tinh',VNM,Viet Nam,South-eastern Asia,Asia,Chuong My,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2018,7,18,2018,7,22,34,,96000,,96000,,,,,220000,274830,80.0495962559511,"[{""adm2_code"":32336,""adm2_name"":""Chuong My""}]",2018-07-24,2023-09-25
2018-0305-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2018-000136,Typhoon 'Bebinca',VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An,Son La, Thanh Hóa, Yên Bái,Bac Giang provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2018,8,17,2018,8,19,13,,50000,,50000,,,,,2000,2498,80.0495962559511,"[{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""}]",2018-08-23,2025-06-25
2018-0369-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Northern provinces,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2018,8,29,2018,9,5,20,,6000,,6000,,,,,,,80.0495962559511,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3331,""adm1_name"":""Bac Ninh""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3346,""adm1_name"":""Ha Nam""},{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3350,""adm1_name"":""Hai Duong""},{""adm1_code"":3351,""adm1_name"":""Hai Phong City""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3354,""adm1_name"":""Hung Yen""},{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3367,""adm1_name"":""Ninh Binh""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3380,""adm1_name"":""Thai Binh""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2018-10-11,2024-04-10
2018-0448-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Binh Dinh, Nghe An, Quang Tri, Quang Ngai, Quang Nam, Da Nang",Heavy rains,,No,No,No,,,Km2,,,,2018,12,8,2018,12,10,14,,105000,,105000,,,,,25000,31231,80.0495962559511,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2018-12-11,2023-09-25
2018-0484-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Toraji',VNM,Viet Nam,South-eastern Asia,Asia,Khanh Hoa province,,,No,No,No,,,Kph,,,,2018,11,17,2018,11,18,19,28,10000,,10028,,,,,17200,21487,80.0495962559511,"[{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""}]",2019-03-22,2023-09-25
2019-0265-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Bac Kan, Cao Bang and Yen Bai Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,5,27,2019,5,30,3,,,265,265,,,,,,,81.5003094099149,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""}]",2019-06-20,2023-09-25
2019-0380-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Qu?ng Ninh, L?ng S?n, Thanh Hóa",Tropical Cyclone Wipha,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,8,5,2019,8,5,19,,1000,500,1500,,,,,45000,55215,81.5003094099149,"[{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2019-08-05,2024-08-27
2019-0393-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000092,,VNM,Viet Nam,South-eastern Asia,Asia,"Kien Giang, Lam Dong, Dak Lak, Dac Nong, Gia Lai, Kon Tum, Dong Nai, Binh Thuan, Binh Phuoc",Torrential rains,,No,No,No,,,Km2,,,,2019,8,8,2019,8,10,12,5,61535,,61540,,,,,,,81.5003094099149,"[{""adm1_code"":3335,""adm1_name"":""Binh Phuoc""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3342,""adm1_name"":""Dong Nai""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""}]",2019-08-27,2025-06-25
2019-0419-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Ha Tinh and Lao Cai provinces.",Tropical Storm PODUL and Tropical Depression KAJIKI's,,No,No,No,,,Km2,,,,2019,9,11,2019,9,11,10,,36450,,36450,,,,,13000,15951,81.5003094099149,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2019-09-20,2023-09-25
2019-0482-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Bình Dinh, Hà Tinh Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,10,15,2019,10,22,3,5,26250,,26255,,,,,,,81.5003094099149,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""}]",2019-10-22,2023-09-25
2019-0534-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Matmo',VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ngai, Binh Dinh, Phu Yen, Gia Lai, Thua Thien Hue province",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2019,11,3,2019,11,3,1,14,20000,,20014,,,,,,,81.5003094099149,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2019-11-05,2023-09-25
2019-0549-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Nakri',VNM,Viet Nam,South-eastern Asia,Asia,"Phu Yen, Binh Dinh Provinces",,Flood,No,No,No,,,Kph,,,,2019,11,12,2019,11,13,3,,2150,,2150,,,,,4000,4908,81.5003094099149,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""}]",2019-11-19,2023-09-25
2019-9359-VNM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2020-000017,,VNM,Viet Nam,South-eastern Asia,Asia,"Long An, Tien Giang, Ben Tre, Dong Thap, Vinh Long, Tra Vinh, Soc Trang, An Giang, Kien Giang, Hau Giang, Bac Lieu, Ca Mau, Can Tho city",,,No,No,No,,,Km2,,,,2019,7,,2020,2,,,,685558,,685558,,,,,,,81.5003094099149,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3330,""adm1_name"":""Bac Lieu""},{""adm1_code"":3332,""adm1_name"":""Ben Tre""},{""adm1_code"":3339,""adm1_name"":""Ca Mau""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3377,""adm1_name"":""Soc Trang""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3386,""adm1_name"":""Tra Vinh""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""},{""adm1_code"":73937,""adm1_name"":""Hau Giang""}]",2019-07-23,2023-09-25
2020-0088-VNM,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,DFO:4888,,VNM,Viet Nam,South-eastern Asia,Asia,"Yen Bai, Ha Giang, Tuyen Quang, Lai Chau, Lao Cai, Cao Bang, Son La. provinces",,Flood|Lightening,No,No,No,,,Kph,20.691,105.183,,2020,3,2,2020,3,10,5,17,4635,,4652,,,,,1500,1818,82.5056838488024,"[{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2020-03-09,2025-03-18
2020-0165-VNM,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Son La, Yen Bai, Lao Cai, and Quang Binh Provinces",,Flood,No,No,No,,,Kph,,,,2020,4,22,2020,4,27,3,13,30000,,30013,,,,,,,82.5056838488024,"[{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2020-05-06,2023-09-25
2020-0307-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Sinlaku',VNM,Viet Nam,South-eastern Asia,Asia,"Hoa Binh, Quang Ninh Provinces",,,No,No,No,,75,Kph,,,,2020,7,29,2020,7,30,2,,10000,,10000,,,,,232,281,82.5056838488024,"[{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""}]",2020-12-14,2023-09-25
2020-0328-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Bac Giang provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,7,18,2020,7,21,5,1,2620,,2621,,,,,22000,26665,82.5056838488024,"[{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""}]",2020-08-10,2023-09-25
